1,6633
2,939
3,1395
4,9591
5,3443
6,1356
7,3909
8,4070
9,3695
10,5578
11,5497
12,1577
13,10111
14,1175
15,8738
16,5407
17,9022
18,1077
19,3383
20,1081
21,5126
22,10735
23,3001
24,3549
25,9598
26,13500
27,26094
28,11671
29,3130
30,8920
31,4557
32,3062
33,2507
34,2924
35,20991
36,12872
37,4721
38,4781
39,10023
40,1790
41,10017
42,4533
43,4513
44,1121
45,1278
46,15984
47,3429
48,5354
49,894
50,8677
51,5174
52,9099
53,16965
54,5375
55,1032
56,14852
57,13064
58,5850
59,6404
60,3896
61,12986
62,4890
63,1897
64,18739
65,2396
66,605
67,13023
68,5462
69,6793
70,2102
71,3569
72,1604
73,160
74,1578
75,6228
76,10327
77,1505
78,1947
79,4783
80,421
81,14507
82,1968
83,23315
84,190
85,3239
86,1853
87,5603
88,1994
89,2709
90,20930
91,18239
92,2356
93,2101
94,4028
95,3730
96,1779
97,837
98,1529
99,3395
100,13190
